"TOA5","UED1423~CCSL026566","CR350","4380","CR350-CELL215.Std.01.07","CPU:CCSL026566v2.CRB","63306","Table1"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","SlrFD_W_Avg","Rain_mm_Tot","Strikes_Tot","Dist_km_Avg","WS_ms_S_WVT","WindDir_D1_WVT","MaxWS_ms_Max","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","RH","RHT_C_Avg","TiltNS_deg","TiltWE_deg","SlrTF_MJ_Tot","CVMeta","Invalid_Wind_Tot","Pyrg_LWi_Avg"
"TS","RN","Volts","Deg C","W/m^2","mm","count","kilometers","meters/second","Deg","meters/second","Deg C","mbar","mbar","%","Deg C","degrees","degrees","MJ/m^2","","","W/m^2"
"","","Avg","Avg","Avg","Tot","Tot","Avg","WVc","WVc","Max","Avg","Avg","Avg","Smp","Avg","Smp","Smp","Tot","Smp","Tot","Avg"
"2025-03-24 16:30:00",0,13.74,19.32,279,0,0,0,4.012,287.8,5.77,13.67,10.85082,703.3868,69.2,16.35,-1.4,-0.1,0.003648,"",0,286.8604
"2025-03-24 16:40:00",1,13.74,19.63,245.5,0,0,0,2.822,281.5,5.76,13.4,10.48914,702.297,69.4,15.75,-0.6,-0.5,0.00769,"",0,287.3173
"2025-03-24 16:50:00",2,13.73,19.4,233,0,0,0,3.496,284.9,6.99,13.25,10.91917,709.28,73.8,15.52,-0.9,0.2,0.013941,"",0,289.0314
"2025-03-24 17:00:00",3,13.73,18.79,209.7,0,0,0,3.398,280.2,6.66,13.02,10.98983,709.3586,74.3,14.97,-1.1,-0.7,0.012585,"",0,290.4249
"2025-03-24 17:10:00",4,13.74,18.73,218.2,0,0,0,3.682,279.8,6.51,12.74,11.09517,709.48,75,14.64,-1.1,-0.4,0.01309,"",0,290.1625
"2025-03-24 17:20:00",5,13.74,18.49,217.6,0,0,0,3.552,281.7,6.34,12.7,11.71117,709.4715,82.8,14.45,-0.2,0.1,0.013065,"",0,288.7095
"2025-03-24 17:30:00",6,13.74,18.24,214.3,0,0,0,3.896,275.1,7.1,12.5,11.71767,709.4602,80.2,14.43,-0.7,-0.2,0.012831,"",0,285.7748
"2025-03-24 17:40:00",7,13.74,18,181.9,0,0,0,3.615,280.5,8.07,12.36,11.48017,709.6103,79.5,14.26,-1.2,0,0.010916,"",0,281.4825
"2025-03-24 17:50:00",8,13.74,17.75,177.5,0,0,0,3.687,274.5,6.98,12.12,11.8355,709.6685,85,14.33,-2,-0.3,0.010586,"",0,275.8885
"2025-03-24 18:00:00",9,13.77,17.5,117.4,0,1,0.617,4.522,284.8,6.81,11.78,11.60617,709.8668,84.3,13.85,-1.2,0.3,0.007036,"",0,268.9524
"2025-03-24 18:10:00",10,13.77,17.15,108.1,0,0,0,3.736,283,7.13,11.59,11.5465,709.8248,84.6,13.45,-1.5,-0.5,0.006473,"",0,265.1702
"2025-03-24 18:20:00",11,13.77,16.73,57.75,0,2,0.85,3.82,290.6,6.73,11.35,11.31267,709.9472,84.1,12.98,-0.9,0,0.003399,"",0,261.9818
"2025-03-24 18:30:00",12,13.42,16.15,22.49,0,1,0.4,3.995,290.3,6.66,10.96,11.06483,710.0767,85,11.91,-0.7,0.3,0.001337,"",0,259.6634
"2025-03-24 18:40:00",13,13.1,15.4,9.85,0,1,0.4,4.487,298,8.26,10.62,11.05167,710.0265,86.4,11.11,-2.7,0,0.000579,"",0,258.9139
"2025-03-24 18:50:00",14,12.96,14.7,0.795,0,0,0,4.973,300.7,8.47,10.37,10.806,710.0152,83.6,10.54,-1.2,-0.7,4.5e-05,"",0,257.9008
"2025-03-24 19:00:00",15,12.92,14.08,0,0,0,0,5.058,301.9,8.72,10.29,10.60517,710.0817,87.3,10.21,-0.4,0.2,0,"",0,257.1103
"2025-03-24 19:10:00",16,12.9,13.62,0,0,0,0,5.082,307.8,7.32,10.09,10.51617,710.2755,84.2,9.95,-2.4,0.4,0,"",0,256.9388
"2025-03-24 19:20:00",17,12.89,13.22,0,0,1,0.517,5.782,311.5,8.6,9.96,10.3815,710.3515,86.5,9.83,-1.6,1.1,0,"",0,255.97
"2025-03-24 19:30:00",18,12.88,12.89,0,0,0,0,5.557,314.4,9.01,9.55,10.213,710.2783,86.2,9.56,-1.3,0.4,0,"",0,255.611
